Name,Team,Minutes,Primary Position,Secondary Position,Nationality,Age,All Goals,xG,Shooting%,Assists,xG Assisted,Key Passes,Dribbles,Successful Dribbles,Dribble%,Dispossessed,Turnovers,Clearances,Aggressive Actions,Defensive Regains,Ball Recoveries,Tack&Int,Aerial Win%,Errors,Pressures,Counterpressures,Counterpress Regains,Passing%,Deep Progressions,Carry%,OP F3 Passes,Touches In Box,Successful Box Cross%,Crossing%
J.Sommerton,Salisbury,2326,Left Back,Left Centre Back,England,25,0.04,0.06,36,0.04,0.07,0.7,1.08,0.66,61,0.89,0.77,4.06,4.72,5.26,13.62,2.9,62,0.04,9.17,2.01,0.62,74,3.79,97,6.81,0.93,43,50
J.White,Hemel Hempstead Town,2299,Left Defensive Midfielder,Centre Attacking Midfielder,England,27,0.16,0.1,32,0.16,0.06,0.63,0.51,0.43,85,1.33,0.82,1.61,5.76,4.54,14.25,2.11,46,0,11.43,4.15,1.33,70,2.9,95,8.61,1.88,9,33
Jack Anthony Turner,Farnborough,2580,Goalkeeper,,England,33,0,0,,0,0,0,0,0,,0.03,0.03,0.07,0.1,7.22,6.45,0,100,0,0.03,0,0,46,3.14,100,1.67,0,0,
Jack Barham,Chelmsford City,1018,Centre Forward,Left Wing,England,30,0.09,0.21,35,0,0.06,0.8,0.88,0.53,60,1.41,2.65,1.15,5.13,2.74,5.48,2.3,48,0,9.81,2.03,0.44,45,1.68,85,5.92,3.18,38,19
Jack Bateson,Hemel Hempstead Town,1630,Right Centre Back,Left Centre Back,England,21,0,0.04,33,0.06,0.03,0.28,0,0,,0.11,0.22,4.86,4.8,4.53,15.57,1.93,67,0,8.22,1.88,0.72,64,2.37,99,2.93,1.66,0,0
Jack Batten,Bath City,2177,Right Centre Back,Left Centre Back,England,30,0,0.02,45,0.04,0.02,0.33,0.17,0.04,25,0.04,0.37,8.23,5.13,5,15.67,2.93,67,0,7.89,1.61,0.7,67,1.24,98,1.41,1.53,0,
Jack Jones,Hemel Hempstead Town,330,Right Centre Midfielder,Right Wing,England,19,0,0.06,17,0,0.15,2.45,2.18,1.91,88,1.09,1.36,0.27,6.54,7.36,11.99,2.73,23,0,12.81,4.09,1.91,62,4.09,94,10.63,1.36,9,18
Jack Spong,Worthing FC,2441,Right Defensive Midfielder,Right Centre Midfielder,England,24,0.22,0.11,33,0.07,0.19,1.62,0.88,0.41,46,2.06,1.66,1.36,7.37,6.71,13.57,3.06,36,0.04,14.86,5.86,2.14,75,4.35,95,12.09,2.18,21,48
Jack Strange,Horsham FC,1233,Right Centre Back,Left Centre Back,England,28,0,0.01,100,0,0,0,0,0,,0.15,0.07,9.78,2.63,3.72,12.92,3.29,71,0,4.31,1.02,0.29,72,1.75,99,2.12,0.58,,
Jack Young,Farnborough,988,Right Defensive Midfielder,Left Defensive Midfielder,England,25,0,0.02,14,0,0.02,0.46,0.18,0.18,100,0.73,0.64,1.82,11.57,9.66,13.12,2.73,55,0,18.95,5.74,1.73,80,4.65,97,8.84,0.36,25,50
Jack Young,Dorking Wanderers FC,446,Centre Attacking Midfielder,Right Centre Midfielder,England,25,0,0.05,0,0.4,0.14,1.21,0.2,0.2,100,0.81,1.61,1.21,9.08,8.88,14.73,2.02,45,0,17.76,6.05,2.02,78,8.47,97,13.12,1.41,20,33
Jacob Adams,Tonbridge Angels FC,1543,Goalkeeper,,England,25,0,0,,0,0,0.06,0.12,0.12,100,0,0,0,0,6.42,5.07,0,,0.06,0.12,0.06,0,63,1.87,100,1.22,0,0,
Jacob Borgnis,Slough Town FC,1014,Right Defensive Midfielder,Left Defensive Midfielder,New Zealand,21,0,0.05,0,0,0.02,0.44,0.27,0.18,67,0.8,0.44,1.69,12.16,9.23,16.07,3.55,52,0,19.35,4.26,1.6,69,5.95,95,8.61,1.07,14,50
Jacob Cane,Weston-super-Mare AFC,1252,Right Defensive Midfielder,Left Defensive Midfielder,England,32,0.07,0.08,21,0.22,0.12,1.01,0.58,0.43,75,0.72,1.01,1.65,10.93,7.26,14.02,4.74,49,0,17.18,4.82,1.37,78,2.95,96,7.55,1.22,10,50
Jacob Knightbridge,AFC Totton,599,Goalkeeper,,England,22,0,0,,0,0,0,0,0,,0,0,0.15,0,6.31,3.76,0,,0,0.15,0,0,64,0.9,100,0.3,0,,
Jacob Mensah,Dover Athletic,1902,Left Centre Back,Right Back,Ghana,25,0.05,0.04,50,0,0,0.09,0.19,0.14,75,0.05,0.14,6.86,5.25,5.77,18.45,2.22,71,0.05,10.03,1.56,0.38,62,1.61,99,1.61,0.62,0,
Jaiden Drakes–Thomas,Slough Town FC,1281,Right Defensive Midfielder,Centre Attacking Midfielder,England,21,0.21,0.19,29,0.21,0.19,1.69,1.97,1.05,54,1.97,3.23,1.4,6.39,5.76,10.26,2.88,33,0,14.61,3.79,1.4,66,4.92,89,11.66,3.16,13,25
Jake Elliott,Horsham FC,1540,Right Centre Back,Left Centre Back,England,27,0,0.03,25,0.12,0.05,0.29,0.35,0.29,83,0.23,0.23,7.42,4.33,4.85,12.1,2.98,66,0,7.83,1.81,0.58,76,1.93,99,2.34,1.46,25,25
Jake Evans,Chippenham Town,1115,Right Defensive Midfielder,Left Defensive Midfielder,England,28,0.08,0.02,10,0,0.04,0.48,0.24,0.16,67,0.81,0.89,2.18,7.67,5.97,9.77,2.42,51,0,16.63,5.25,1.61,75,2.66,96,7.43,0.81,33,22
Jake Gray,Hemel Hempstead Town,944,Left Wing,Left Midfielder,England,30,0,0.04,36,0.1,0.11,1.05,0.95,0.38,40,0.76,2,1.24,6.67,5.15,10.67,2.38,32,0,12.39,3.05,1.33,59,2.76,88,10.48,2.19,23,32
Jake Hessenthaler,Ebbsfleet United,2409,Left Defensive Midfielder,Right Defensive Midfielder,England,32,0.07,0.04,30,0.04,0.03,0.3,0.3,0.11,38,0.45,0.52,2.28,9.12,5.98,14.61,3.21,54,0.04,15.32,4.22,1.46,78,4.33,98,9.38,1.68,24,36
Jake Tabor,Bath City,551,Left Centre Forward,Right Centre Forward,England,22,0.16,0.29,20,0,0.12,0.65,2.12,1.31,62,2.78,3.76,0.33,10.29,7.35,6.37,1.8,27,0,27.44,7.68,2.12,60,1.8,77,7.19,5.72,60,43
Jalen Anthony Jones,Dover Athletic,2822,Right Centre Back,Centre Back,Guyana,27,0.1,0.04,42,0.06,0.04,0.19,0.13,0.13,100,0.19,0.22,7.65,4.02,4.27,14.99,2.07,75,0.03,6.82,1.44,0.51,64,1.98,98,2.65,1.91,0,17
James Dodd,Weston-super-Mare AFC,1422,Left Defensive Midfielder,Left Centre Midfielder,England,25,0,0.06,36,0,0.03,0.7,0.44,0.38,86,0.57,0.95,1.96,7.6,6.77,10.26,2.85,53,0,13.61,3.8,1.39,77,3.36,98,8.55,1.01,0,0
James Hammond,Horsham FC,2883,Left Defensive Midfielder,Left Centre Midfielder,England,29,0.25,0.07,35,0.09,0.1,1.15,0.53,0.44,82,0.56,0.66,2.56,6.59,5.4,13.14,1.87,46,0,12.46,3.59,1.4,72,4.15,97,8.33,1.31,12,15
James Hamon,Torquay United,2814,Goalkeeper,,International,30,0,0,,0.03,0.01,0.13,0.06,0.06,100,0,0.06,0,0.06,5.05,4.67,0,0,0.03,0.1,0,0,63,1.63,100,0.83,0,0,
James McShane,Dorking Wanderers FC,1484,Right Centre Midfielder,Left Centre Midfielder,England,35,0.06,0.18,24,0.12,0.07,0.73,0.73,0.55,75,1.09,1.15,0.36,9.88,6.73,10.13,2.43,37,0,17.46,6.49,2,68,3.27,94,7.46,3.4,6,33
James Roberts,Horsham FC,538,Left Wing,Centre Forward,England,29,0.17,0.12,83,0.17,0.01,0.5,0.5,0.17,33,1.5,2.34,0.33,4.35,2.51,5.52,1.5,48,0,12.54,2.51,0.5,63,2.34,89,9.19,1.5,0,0
James Waite,Weston-super-Mare AFC,680,Centre Attacking Midfielder,Right Wing,Wales,27,0.13,0.08,40,0.26,0.11,1.19,1.72,1.06,62,2.12,1.85,0.13,7.14,4.36,6.48,3.44,31,0,13.09,3.84,0.79,73,1.72,92,11.64,3.04,7,40
James William Holden,Hampton & Richmond,1312,Goalkeeper,,England,24,0,0,,0,0,0.07,0,0,,0,0,0,0.21,7.47,3.98,0,,0,0.07,0,0,42,1.65,100,0.96,0,,
Jamie Fielding,Ebbsfleet United,452,Right Centre Back,,England,26,0,0.09,0,0,0.08,0.6,0.8,0.4,50,0,1,7.37,2.19,3.18,13.73,1,80,0,5.97,1.39,0.4,60,4.18,98,7.17,2.19,25,50
Jamie Spencer Searle,Eastbourne Borough,396,Goalkeeper,,New Zealand,25,0,0,,0,0,0,0,0,,0,0,0,0,7.73,4.78,0,,0,0,0,0,49,3.18,100,1.59,0,0,
Jared Myers,Slough Town FC,1738,Right Wing,Right Midfielder,England,,0.26,0.18,31,0.1,0.11,1.09,2.43,1.55,64,2.28,2.9,0.52,6.73,4.66,6.42,1.55,16,0,15.74,4.4,1.09,57,2.28,83,6.47,3.11,48,27
