Name,Team,Minutes,Primary Position,Secondary Position,Nationality,Age,All Goals,xG,Shooting%,Assists,xG Assisted,Key Passes,Dribbles,Successful Dribbles,Dribble%,Dispossessed,Turnovers,Clearances,Aggressive Actions,Defensive Regains,Ball Recoveries,Tack&Int,Aerial Win%,Errors,Pressures,Counterpressures,Counterpress Regains,Passing%,Deep Progressions,Carry%,OP F3 Passes,Touches In Box,Successful Box Cross%,Crossing%
Josh Taylor,Dorking Wanderers FC,1749,Right Centre Midfielder,Right Defensive Midfielder,England,31,0.1,0.04,35,0.05,0.07,0.98,1.03,0.72,70,1.34,1.34,0.98,7,5.61,12.76,2.42,61,0.05,12.66,4.22,1.7,71,4.94,95,10.44,2.21,34,30
Josh Umerah,Maidenhead United,1796,Right Centre Forward,Centre Forward,England,29,0.35,0.28,42,0.05,0.06,0.65,1,0.25,25,2.26,4.46,0.3,4.61,5.21,3.21,0.6,35,0,13.68,3.81,1.35,68,1.2,78,6.82,5.56,0,0
Joshua Addae,Chesham United FC,2053,Right Wing Back,Right Back,England,23,0,0.04,21,0.04,0.06,0.35,0.92,0.57,62,1.71,1.67,1.8,8.94,5.87,8.2,2.63,48,0,14.51,2.94,0.88,59,3.29,89,6,1.4,39,14
Joshua Adepoju,Slough Town FC,382,Centre Attacking Midfielder,Left Centre Midfielder,England,,0,0.12,33,0.24,0.15,1.18,1.65,0.94,57,3.3,2.83,0.47,9.9,7.77,11.07,1.41,33,0,19.79,7.07,2.83,60,3.53,88,8.48,1.65,14,17
Joshua Anifowose,Eastbourne Borough,1593,Left Wing Back,Right Wing Back,England,24,0.06,0.11,43,0.28,0.18,1.24,3.39,1.92,57,4.46,4.29,0.62,7.63,7.63,10.96,2.66,30,0,18.37,6.61,2.49,63,3.96,82,10.29,3,42,31
Joshua Jeffries,Worthing FC,1908,Goalkeeper,,England,20,0,0.01,100,0,0.01,0.05,0.05,0.05,100,0,0,0,0.09,5.28,3.4,0,100,0.14,0.14,0.09,0.05,72,0.19,100,0.09,0.05,,
Joshua Passley,Ebbsfleet United,1419,Right Centre Back,Right Wing Back,England,31,0,0.04,20,0.06,0.07,0.82,0.32,0.13,40,0.57,0.57,3.05,4.44,5.65,10.6,2.47,79,0,9.9,2.92,1.27,74,6.53,97,12.05,1.97,19,31
Jude Mason,Hampton & Richmond,757,Left Back,Left Wing Back,England,25,0,0.01,0,0,0.01,0.36,0.24,0,0,0.36,0.59,2.73,3.69,3.92,8.8,2.26,67,0,8.2,1.9,0.71,63,3.45,96,6.42,0.36,14,33
Junior Dixon,Hampton & Richmond,548,Centre Forward,Right Centre Forward,England,21,0,0.21,30,0,0.05,0.66,1.81,1.31,73,3.94,5.09,0.16,5.42,4.76,5.09,0.33,23,0,18.07,5.91,2.14,76,1.81,74,7.06,4.76,0,50
Junior Morias,AFC Hornchurch,379,Left Centre Forward,Left Wing,Jamaica,30,0,0.14,60,0.24,0.34,1.9,0.71,0.71,100,1.9,2.13,0,2.61,4.03,7.35,0.24,31,0,12.33,3.32,0.95,67,1.9,83,7.35,3.56,20,20
Kai Corbett,Chelmsford City,429,Left Wing,Left Midfielder,England,23,0.21,0.13,27,0.21,0.16,1.89,2.72,1.68,62,2.93,2.31,1.05,3.56,1.68,6.29,1.68,42,0,9.43,2.72,0,60,3.56,86,7.54,3.98,29,22
Kai Corbett,Eastbourne Borough,1374,Left Centre Midfielder,Left Attacking Midfielder,England,23,0.13,0.2,27,0.07,0.14,1.83,0.92,0.39,43,2.16,2.55,0.13,4.39,4.26,7.99,1.7,12,0,10.48,3.8,1.38,62,6.16,90,10.15,2.49,16,32
Kai Jennings,Farnborough,555,Left Centre Midfielder,Left Defensive Midfielder,England,20,0,0.02,33,0,0.06,0.65,0.81,0.49,60,0.49,1.3,1.95,8.76,7.3,12.33,3.41,56,0,14.6,5.52,1.78,72,3.25,95,8.6,0.97,29,50
Kai McKenzie-Lyle,Dagenham & Redbridge,611,Goalkeeper,,Guyana,28,0,0,,0,0,0,0,0,,0,0,0,0.15,6.48,4.71,0,,0,0.15,0,0,51,1.18,100,0.29,0,,
Kai Yearn,Maidenhead United,352,Centre Attacking Midfielder,Left Defensive Midfielder,England,21,0,0.12,25,0,0.08,2.3,0.77,0,0,0.51,1.53,2.3,9.2,5.62,13.54,1.28,43,0,18.14,4.6,1.28,67,6.13,93,12.78,2.56,14,25
Kane Crichlow,Chelmsford City,376,Left Wing,Right Wing,Bermuda,25,0.24,0.12,75,0,0.02,0.24,1.2,0.72,60,3.83,3.83,0.72,7.9,5.98,9.57,1.91,36,0,16.99,3.59,0.72,69,0.48,74,4.79,2.87,33,75
Kane Ferdinand,Maidenhead United,1336,Centre Defensive Midfielder,Right Defensive Midfielder,Republic of Ireland,33,0,0.02,20,0,0.02,0.27,0.34,0.13,40,0.67,0.74,2.09,9.7,7.81,12.73,3.7,48,0,16.77,5.25,1.68,78,2.76,96,6.74,1.28,0,
Karl Oliyide,Chesham United FC,1024,Centre Forward,Left Centre Forward,England,31,0.35,0.51,54,0,0.08,0.97,0.62,0.53,86,1.76,2.55,0.62,3.08,3.61,4.75,1.06,31,0,11.17,3.34,1.06,74,1.06,85,6.33,5.28,25,33
Kayden Harrack,Dagenham & Redbridge,2033,Right Centre Back,Right Defensive Midfielder,Grenada,22,0.18,0.09,32,0,0.03,0.53,0.27,0.09,33,0.58,0.93,2.39,7.57,4.91,12.53,2.17,53,0,13.85,3.98,0.75,61,3.5,95,4.47,1.42,12,10
Kenny Coker,Dover Athletic,861,Centre Forward,Left Wing,England,22,0.31,0.19,43,0.1,0.13,0.63,1.04,0.42,40,2.61,3.76,0.84,7.42,3.87,4.49,1.04,45,0,17.97,5.54,1.36,48,1.99,69,5.12,4.28,20,50
Khaleel Rafiq Salah-Edine,Dagenham & Redbridge,399,Right Defensive Midfielder,Left Defensive Midfielder,Morocco,23,0.23,0.16,29,0.23,0.03,0.68,2.03,1.35,67,1.35,2.26,1.58,6.77,2.26,9.93,0.45,38,0.23,14.9,4.97,0.45,85,5.42,90,8.35,1.13,0,50
Kian Ronan,Chelmsford City,1487,Right Back,Right Wing Back,Gibraltar,25,0,0.06,75,0.06,0.06,0.61,0.24,0.12,50,0.42,0.85,3.51,5.69,4.6,12.77,2.85,60,0,11.5,2.72,0.73,65,5.02,97,9.08,0.79,21,17
Kieran Parselle,Bath City,2442,Left Centre Back,Left Back,England,29,0.07,0.1,21,0,0.03,0.29,0.07,0.07,100,0.18,0.22,7.45,4.76,5.16,13.82,1.88,71,0,8.4,1.55,0.74,52,3.06,97,3.21,2.14,23,25
Kieran Wilson,Torquay United,430,Left Wing,Right Back,Scotland,19,0.42,0.13,33,0,0.09,1.05,3.56,2.93,82,0.84,2.3,1.05,4.6,5.23,3.97,0.63,31,0,14.22,4.18,1.46,70,2.51,91,10.04,3.97,50,22
Kiki Oshilaja,Slough Town FC,2003,Right Centre Back,Right Back,England,26,0.18,0.07,50,0,0.03,0.31,0.22,0.13,60,0.27,0.31,6.11,6.92,7.82,17.39,4,66,0.09,12.36,2.7,0.9,70,3.46,98,3.95,1.98,0,20
Kwaku Frimpong,Worthing FC,394,Centre Attacking Midfielder,Left Centre Midfielder,England,23,0,0.03,0,0.46,0.49,1.6,1.14,0.46,40,1.83,2.51,0.23,10.51,8.45,10.97,4.34,38,0.23,21.48,6.63,2.06,73,2.97,89,9.83,3.2,50,40
Kwesi Appiah,Ebbsfleet United,1080,Right Centre Forward,Left Centre Forward,Ghana,35,0.33,0.37,41,0,0.11,0.83,0.33,0.17,50,1.83,2,1,6.92,5.25,5.92,1.58,38,0,15,4.42,1.67,73,0.92,87,10.59,6.75,0,25
Kyle Ajayi,Hemel Hempstead Town,2474,Left Centre Back,Left Back,England,25,0.07,0.05,39,0.11,0.03,0.33,0.29,0.22,75,0.44,0.44,6.84,3.2,4.18,15.57,1.86,64,0.07,4.95,1.13,0.62,60,3.06,97,3.71,2.22,11,17
Kyle Ray Smith,Tonbridge Angels FC,1739,Right Back,Right Wing Back,England,21,0,0.02,11,0.16,0.07,0.78,1.35,0.78,58,1.09,1.81,3.1,6.31,5.17,11.69,3.57,58,0.1,12.73,3.36,1.19,51,3.05,93,5.28,0.62,54,32
Kyran Wiltshire,Hemel Hempstead Town,2040,Right Defensive Midfielder,Left Defensive Midfielder,England,29,0.09,0.02,62,0,0.04,0.31,0.26,0.13,50,0.53,1.1,2.12,7.99,5.34,13.63,2.34,46,0,13.33,4.28,1.37,64,3.62,94,8.47,1.06,15,13
L.Hallett,AFC Totton,1673,Right Centre Back,Centre Back,England,23,0.05,0.02,40,0,0.02,0.16,0.43,0.22,50,0.22,0.59,4.79,4.36,5.32,12.32,2.64,74,0,7.15,1.72,0.86,76,3.55,98,4.46,0.97,0,0
L.Harding,Horsham FC,1312,Right Back,Right Midfielder,England,29,0,0.03,27,0.07,0.07,0.48,1.1,0.27,25,0.75,1.58,4.19,5.83,4.67,14.2,3.98,72,0,10.02,3.02,1.03,61,6.11,95,7.2,0.75,18,10
L.Rodrigues,Horsham FC,966,Centre Forward,Centre Attacking Midfielder,Brazil,28,0.28,0.25,44,0.19,0.24,1.3,3.73,1.77,48,4.19,5.03,0.84,5.68,4.94,7.73,1.12,25,0,15.28,5.59,2.24,56,2.05,77,5.31,5.68,33,44
Lachlan Byrd,Eastbourne Borough,386,Centre Back,Right Centre Back,Australia,24,0,0.05,0,0,0,0,0,0,,0.47,0,7.7,5.13,5.37,17.03,2.1,76,0.23,8.86,2.8,0.7,73,4.2,98,5.37,0.93,0,
Lachlan Byrd,Farnborough,1774,Right Centre Back,Centre Back,Australia,24,0.05,0.12,33,0.05,0.03,0.1,0.05,0,0,0.46,0.1,5.68,5.73,6.44,17.25,2.69,67,0,9.18,2.13,1.01,67,2.08,99,3.25,2.84,33,50
Laiith Fairnie,Eastbourne Borough,1080,Left Centre Back,Left Centre Midfielder,England,21,0,0,0,0,0.03,0.25,1,0.83,83,0.67,0.58,4.17,7.92,7.34,19.01,3.33,73,0,13.17,3.5,1.33,62,4.33,97,4.25,1,25,25
Lamar Reynolds,Enfield Town FC,1915,Left Centre Forward,Centre Forward,England,30,0.38,0.34,35,0.09,0.08,0.66,1.83,1.13,62,1.74,3.38,0.7,4.79,3.34,4.32,0.52,21,0,12.64,3.95,1.17,59,1.36,80,4.61,5.31,11,29
Laurence Shala,Tonbridge Angels FC,1295,Goalkeeper,,Kosovo,21,0,0,,0,0,0.14,0,0,,0,0,0,0.07,5.77,3.13,0,,0.07,0.07,0,0,34,2.08,100,0.97,0,0,
Lee Hodson,AFC Totton,1038,Right Defensive Midfielder,Left Defensive Midfielder,Northern Ireland,34,0,0.01,0,0,0.03,0.52,0,0,,0.35,0.35,1.65,7.89,6.93,9.79,2.08,71,0,13.95,3.73,1.73,78,3.64,97,7.28,0.17,33,50
Lennon Peake,Ebbsfleet United,854,Left Wing Back,Left Centre Midfielder,England,23,0,0.1,40,0.32,0.15,2.21,1.27,0.53,42,1.48,1.58,1.69,6.12,5.69,8.12,2.85,28,0,13.6,3.48,1.16,64,2.74,92,10.23,1.37,44,38
Leo Hamblin,Maidstone United,2007,Left Back,Left Centre Back,England,23,0,0.03,20,0.09,0.07,0.72,0.67,0.49,73,0.58,0.94,5.16,6.68,6.23,13.14,3.54,57,0.04,11.39,2.2,0.94,56,5.74,96,7.62,1.43,62,29
Leone Gravata,Horsham FC,2223,Right Back,Right Wing,England,25,0.04,0.1,30,0.08,0.08,0.65,1.13,0.61,54,1.34,1.38,1.94,14.01,9.68,10.32,4.45,28,0,22.35,3.64,1.42,72,4.82,94,7.69,1.13,17,22
Lewis Carey,Horsham FC,2889,Goalkeeper,,England,32,0,0,,0,0,0.06,0,0,,0,0,0.06,0,5.55,3.68,0.03,0,0,0.03,0,0,68,1.65,100,1.03,0,0,
Lewis Colwell,Chippenham Town,1606,Right Back,Right Wing Back,England,20,0,0.01,33,0.11,0.06,0.56,0.95,0.56,59,0.9,1.06,3.31,6.33,4.99,9.7,2.63,42,0,11.04,2.75,0.62,77,2.91,95,7.9,0.78,46,35
Lewis Rolfe,Chesham United FC,358,Left Defensive Midfielder,Left Wing Back,England,33,0,0.03,0,0,0.14,0.75,1.51,1.26,83,1.26,0.75,2.76,5.53,4.52,12.56,2.26,50,0.25,11.05,3.77,2.26,81,4.27,97,6.78,0.25,0,0
Lexus Beeden,Maidstone United,1819,Left Centre Back,Right Centre Back,England,26,0,0.04,17,0.05,0.05,0.3,0.59,0.4,67,0.25,0.49,7.97,4.7,5.54,17.91,2.37,71,0,7.47,1.68,0.74,66,3.22,98,3.86,2.13,75,60
Liam Dulson,Maidenhead United,2343,Left Centre Forward,Left Wing,England,26,0.35,0.27,48,0.08,0.08,0.81,1.65,0.96,58,2.69,2.46,0.31,4.76,4.11,5.26,1.11,25,0,11.68,2.54,0.88,72,2.46,88,9.76,6.03,59,27
Louie Annesley,Dorking Wanderers FC,827,Left Centre Back,Centre Defensive Midfielder,Gibraltar,26,0.11,0.09,25,0.11,0.02,0.54,0,0,,0.22,0.54,3.16,3.81,4.68,15.56,2.07,68,0,9.36,2.29,0.54,73,3.05,98,5.77,1.09,0,0
Louie Holzman,Farnborough,1144,Right Centre Back,Centre Defensive Midfielder,England,22,0.08,0.04,67,0,0.03,0.39,0.47,0.24,50,0.24,0.47,5.98,8.74,5.9,13.54,3.62,61,0,14.09,2.83,0.63,63,3.93,97,5.43,1.5,33,18
Louie McDonagh-Kudiabor,Chelmsford City,1023,Centre Forward,Right Centre Forward,England,,0.09,0.23,21,0,0.07,0.7,0.62,0.09,14,1.5,3.43,0.88,5.37,4.05,4.4,0.62,31,0,17.06,4.4,1.14,57,1.06,80,6.42,4.93,0,0
Louis Britton,Weston-super-Mare AFC,2168,Centre Forward,Left Centre Forward,England,25,0.58,0.43,50,0.04,0.05,0.66,0.5,0.21,42,1.29,2.28,0.37,4.77,3.28,3.9,0.5,42,0.04,13.87,3.24,0.75,56,1.12,81,4.86,4.53,13,50
Louis Dennis,Torquay United,2039,Centre Attacking Midfielder,Centre Forward,England,33,0.53,0.28,53,0.18,0.16,1.19,1.72,1.15,67,2.07,2.96,0.97,5.83,4.85,4.55,1.19,34,0,15.23,4.63,1.54,75,2.52,89,11.47,5.91,13,20
Louis Lomas,Farnborough,1807,Left Centre Back,Right Back,England,25,0,0.03,20,0.05,0.03,0.3,0.2,0.1,50,0.3,0.35,5.88,4.18,4.18,16.59,2.04,62,0.05,7.77,1.2,0.15,67,2.54,98,3.99,1.35,50,33
Louis Lomas,Hemel Hempstead Town,304,Left Centre Back,,England,25,0,0.01,0,0.3,0.02,0.3,0,0,,0,0,7.7,5.33,6.22,20.72,0.89,59,0,9.18,2.37,0.59,63,1.48,100,2.96,1.78,,0
Louis Storey,Dorking Wanderers FC,1801,Centre Back,Right Centre Back,England,32,0,0.02,20,0,0.05,0.35,0,0,,0.2,0.15,3.85,4.55,4.75,15.39,1.85,60,0.05,7.34,1.45,0.65,75,4,99,5.5,2.05,0,0
Luca George Cocoracchio,Dover Athletic,2735,Centre Defensive Midfielder,Left Defensive Midfielder,England,24,0.03,0.05,33,0.03,0.03,0.56,0.16,0.1,60,0.53,0.49,4.34,7.8,6.42,20.5,2.93,63,0.03,14.02,3.49,1.05,58,3.78,98,6.75,0.99,16,42
Luciano D'Auria-Henry,Farnborough,564,Right Back,Right Wing Back,England,23,0,0.02,100,0,0.2,0.96,1.44,0.64,44,1.44,1.91,2.07,7.34,6.7,8.78,3.99,25,0.16,13.56,3.83,1.6,62,3.03,89,5.27,0.8,40,43
Luke Baptiste,Dover Athletic,1565,Left Wing,Left Midfielder,England,23,0.12,0.19,35,0.17,0.13,1.15,0.86,0.29,33,2.19,2.24,0.98,4.95,3.05,7.76,0.75,40,0,13.51,4.37,0.92,51,2.42,84,5.52,3.8,19,31
Luke Bennett,AFC Totton,423,Right Wing,Right Back,England,23,0,0.06,67,0,0.1,1.28,0.85,0.85,100,1.28,2.55,1.28,4.89,3.19,6.59,0.64,50,0,11.91,4.04,1.28,67,1.91,87,8.29,2.76,17,25
Luke Coulson,Weston-super-Mare AFC,1878,Left Midfielder,Left Wing,England,32,0.24,0.08,28,0.29,0.31,1.96,1.25,0.81,65,2.01,1.73,0.62,4.7,4.17,7.52,1.44,35,0,10.93,2.64,0.67,70,4.46,94,10.73,1.87,29,37
Luke Haines,Chippenham Town,2388,Right Centre Back,Centre Back,England,25,0.04,0.06,24,0,0.05,0.26,0.23,0.23,100,0.23,0.26,5.28,4.82,5.31,13.83,2.22,78,0,7.09,1.77,0.57,77,3.47,99,3.77,1.81,17,11
Luke Holness,Slough Town FC,423,Centre Forward,Right Centre Forward,England,27,0.43,0.26,36,0.21,0.11,1.06,1.28,1.28,100,3.4,2.13,0.21,4.68,3.19,7.23,0.43,16,0,15.74,3.83,0.64,59,1.91,78,6.59,5.32,100,50
Luke Moore,Dorking Wanderers FC,988,Centre Defensive Midfielder,Left Defensive Midfielder,England,38,0,0.02,0,0.09,0.04,0.73,0.46,0.36,80,0.64,0.46,2,5.92,4.28,17.68,1.73,53,0,8.66,3.19,1.28,79,5.29,98,7.75,0.55,0,0
Luke Robertson,Hampton & Richmond,320,Left Defensive Midfielder,Centre Defensive Midfielder,England,29,0,0.06,33,0,0,0,0,0,,0.84,0,2.81,2.81,4.78,14.9,2.25,29,0,7.87,3.09,1.41,81,3.37,98,8.15,1.12,0,
Luke Russe,Bath City,2402,Left Defensive Midfielder,Right Centre Midfielder,England,26,0,0.06,30,0.11,0.1,0.9,0.41,0.19,45,0.75,0.82,1.91,5.25,5.36,13.23,2.1,46,0,11.24,3.3,1.24,63,3.26,94,7.01,1.42,12,27
Luke Skinner,Weston-super-Mare AFC,588,Right Wing,Right Centre Forward,England,18,0.46,0.51,30,0,0.11,0.46,3.67,1.99,54,3.06,4.44,0.15,6.89,4.29,5.67,1.07,21,0,19.29,5.82,1.84,54,2.3,73,3.67,6.58,0,30
Lyle Taylor,Chelmsford City,1532,Centre Forward,Left Centre Forward,Montserrat,36,0.53,0.31,41,0.18,0.13,1.47,0.41,0.23,57,1.41,3,0.82,4.7,3.47,5.17,0.41,40,0,12.1,2.76,0.82,62,1.17,89,6.93,7.28,21,27
M.Achuba,Hemel Hempstead Town,1603,Left Defensive Midfielder,Centre Attacking Midfielder,England,24,0,0.08,15,0,0.03,0.45,1.35,0.95,71,1.12,1.57,2.08,11.11,6.62,13.25,3.48,45,0,18.3,5.73,2.02,67,3.65,91,7.75,0.9,0,0
M.Atkinson,Hampton & Richmond,853,Centre Defensive Midfielder,Left Defensive Midfielder,England,27,0,0,50,0,0.03,0.63,0.11,0.11,100,0.74,0.11,1.48,12.76,8.65,12.55,4.43,48,0,17.72,5.48,2,81,2.85,98,7.49,0.53,0,0
M.Atkinson,Salisbury,753,Left Defensive Midfielder,Centre Defensive Midfielder,England,27,0.12,0.03,40,0,0.03,0.6,0.12,0.12,100,0.36,0.12,1.79,9.57,6.94,10.52,3.95,40,0,14.71,3.83,1.43,86,4.78,99,10.76,1.32,20,33
M.Lewis,Hemel Hempstead Town,1864,Centre Forward,Centre Attacking Midfielder,England,21,0.58,0.43,48,0.14,0.2,1.26,1.45,0.77,53,2.22,4.3,0.19,5.41,4.88,4.15,0.63,29,0,15.45,3.81,1.21,72,1.4,78,7.72,6.57,27,33
M.Rowley,Hampton & Richmond,1278,Goalkeeper,,England,22,0,0,,0,0,0,0,0,,0,0,0,0,7.39,4.51,0,,0.07,0,0,0,50,1.34,100,0.63,0,,
Makai Welch,AFC Hornchurch,1015,Left Back,Right Back,England,20,0,0.01,100,0,0.01,0.18,1.77,1.06,60,2.75,3.37,3.28,9.04,7.27,12.77,2.84,59,0.09,18.62,5.23,1.86,74,4.08,87,7.71,1.51,0,29
Malachi Linton,AFC Totton,966,Centre Forward,Right Wing,England,25,0.19,0.36,45,0.09,0.15,0.93,0.47,0.19,40,1.21,1.3,0.37,3.82,4.38,3.54,0.65,28,0,13.04,3.82,1.21,66,1.68,90,5.87,6.89,44,31
Malachi Ogunleye,Salisbury,1205,Right Defensive Midfielder,Centre Defensive Midfielder,Nigeria,19,0,0.02,25,0,0.01,0.22,0.82,0.45,55,1.2,1.12,1.72,10.09,9.56,15.91,4.63,48,0,19.2,8.07,3.36,74,4.41,95,7.4,0.45,0,67
Marcus Sablier,Tonbridge Angels FC,1225,Centre Attacking Midfielder,Left Centre Midfielder,England,23,0.07,0.08,17,0.44,0.24,1.98,1.32,1.03,78,1.62,2.06,0.88,9.04,5.66,8.6,1.84,23,0,16.82,5.22,1.54,72,3.6,94,12.42,1.62,8,24
Mark Cousins,Ebbsfleet United,1004,Goalkeeper,,England,39,0,0,,0,0,0,0,0,,0.09,0,0,0.18,5.29,4.84,0,,0.09,0.09,0,0,56,0.9,99,0.63,0,,
Martell Taylor-Crossdale,Tonbridge Angels FC,685,Centre Forward,Left Wing,England,26,0,0.14,38,0.26,0.09,0.92,0.39,0.39,100,1.71,1.44,0.26,6.7,3.94,4.99,1.05,13,0,13.39,1.97,0.39,75,1.31,93,6.17,2.63,100,17
Mason Bloomfield,Farnborough,1574,Centre Forward,Centre Attacking Midfielder,England,29,0.23,0.25,40,0.11,0.04,0.63,0.86,0.46,53,2.69,3.55,2.17,6.18,4.63,5.38,1.49,42,0,13.73,4.18,1.37,68,1.83,80,7.21,3.37,25,33
Matt Bowman,Bath City,845,Centre Attacking Midfielder,Left Defensive Midfielder,Switzerland,23,0.11,0.1,10,0.11,0.08,0.64,1.07,0.53,50,1.38,2.56,2.88,13.63,10.33,16.72,4.37,45,0,25.56,6.6,2.88,61,2.66,89,6.6,2.02,0,0
Matt Briggs,Salisbury,1571,Right Wing Back,Right Wing,England,30,0.11,0.11,45,0.17,0.11,0.92,1.09,0.52,47,0.97,2.58,0.69,5.67,4.53,6.13,1.83,42,0,11.52,2.75,0.8,65,1.2,89,6.02,2.58,0,7
Matt Burgess,Worthing FC,871,Centre Attacking Midfielder,Left Attacking Midfielder,England,23,0,0.07,40,0,0.03,0.83,0.72,0.21,29,2.17,2.38,0.52,9.1,9.51,6,2.89,37,0,19.23,5.48,2.58,83,2.79,88,7.65,3.2,0,0
Matt Jay,Torquay United,1355,Centre Attacking Midfielder,Left Wing,England,30,0.2,0.21,43,0.13,0.09,1.13,0.6,0.07,11,1.26,1.73,1,6.04,4.58,7.24,1.2,39,0,12.82,3.72,1.53,78,3.06,93,10.83,3.99,6,44
Matt Lench,Chesham United FC,1108,Left Defensive Midfielder,Right Defensive Midfielder,England,33,0.24,0.24,23,0,0.03,0.57,0.89,0.41,45,1.3,1.06,2.52,8.53,7.64,16.65,3.49,52,0,14.62,5.04,1.79,77,5.04,97,9.58,1.62,14,33
Matt Robinson,Maidenhead United,2301,Left Defensive Midfielder,Left Centre Midfielder,England,31,0.04,0.07,18,0.08,0.08,1.49,0.78,0.47,60,0.78,0.98,1.53,8.09,7.2,15.92,3.09,56,0,14.43,4.85,1.88,80,6.88,98,15.76,1.25,19,38
Matt Worthington,Torquay United,1810,Right Defensive Midfielder,Left Defensive Midfielder,England,28,0.05,0.05,33,0.05,0.03,0.45,0.3,0.15,50,0.7,0.8,2.34,6.16,5.52,12.13,1.79,54,0,10.84,3.38,1.49,79,4.47,98,9.89,1.04,29,36
Matthew Hall,Ebbsfleet United,1080,Goalkeeper,,England,23,0,0,,0,0.01,0.08,0,0,,0.08,0,0.08,0,5.58,4.66,0,,0,0,0,0,51,1.33,100,0.58,0,0,
Matthew Hall,AFC Totton,411,Goalkeeper,,England,23,0,0,,0,0,0,0,0,,0,0,0,0,7.88,3.72,0,,0,0,0,0,57,1.75,100,1.31,0,,
Matthew James,Salisbury,1450,Centre Forward,Left Centre Forward,England,36,0.12,0.25,34,0.12,0.12,1.37,0.56,0.37,67,1.68,2.73,0.5,3.85,2.98,5.71,0.87,34,0,8.5,2.3,0.62,69,2.05,90,8.44,4.34,0,0
Matthew McClure,Chesham United FC,727,Left Centre Forward,Right Centre Forward,Northern Ireland,34,0.25,0.38,35,0,0.03,0.5,0.25,0.12,50,0.99,2.72,0.12,5.94,4.7,5.69,0.87,51,0,16.59,4.33,1.36,71,1.49,81,5.32,4.33,20,33
Matthew Warren,Tonbridge Angels FC,2065,Right Defensive Midfielder,Left Defensive Midfielder,England,,0.04,0.04,18,0,0.01,0.17,0.44,0.26,60,0.74,0.74,2.66,11.25,8.5,12.55,3.71,46,0,19.27,5.01,1.57,69,2.48,96,5.88,0.87,22,17
Mauro Vilhete,Hemel Hempstead Town,652,Left Wing,Right Wing,England,33,0.28,0.16,36,0,0.15,1.93,1.1,0.41,38,2.48,3.59,0.97,7.59,4.69,6.35,2.76,44,0,13.8,4.42,0.97,63,2.48,83,9.25,3.86,20,28
Max Ehmer,Ebbsfleet United,1225,Centre Back,,Germany,34,0,0.03,0,0,0.01,0.22,0,0,,0.15,0.29,6.25,3.75,3.31,11.54,1.91,68,0.07,6.39,0.66,0.15,77,1.25,98,1.84,1.18,0,
Max Harris,Weston-super-Mare AFC,2491,Goalkeeper,,England,26,0,0,0,0,0.01,0.11,0,0,,0,0,0.14,0.04,4.95,5.38,0,0,0,0.11,0,0,43,3.36,100,1.66,0.11,0,
Max James Evans,AFC Totton,495,Goalkeeper,,England,24,0,0,,0,0,0,0,0,,0,0,0,0.36,6,5.09,0,,0.18,0.55,0,0,64,2.73,100,1.82,0.36,,
Maxwell Mullins,Eastbourne Borough,1172,Right Centre Forward,Left Centre Forward,England,24,0.08,0.22,35,0.23,0.11,0.84,0.84,0.46,55,2,2.84,0.61,6.99,5.45,4.22,1.07,32,0,17.74,5.07,1.77,62,1.31,82,5.84,5.84,17,38
Maxx Manktelow,Ebbsfleet United,367,Right Centre Back,Left Attacking Midfielder,England,,0.25,0.35,80,0,0.12,0.49,0,0,,0.25,0.98,3.43,8.58,4.66,11.03,0.98,71,0,16.67,3.43,0.98,70,7.6,99,12.75,1.47,60,33
Michael Johnson,Hemel Hempstead Town,2771,Goalkeeper,,England,32,0,0,100,0,0.01,0.13,0,0,,0,0.03,0.13,0.03,4.61,4.55,0,,0,0.06,0,0,40,2.79,100,1.27,0,0,
Michael Smith,Weston-super-Mare AFC,1994,Right Back,Right Wing Back,Northern Ireland,37,0,0.02,0,0.32,0.11,1.04,0.63,0.41,64,0.41,0.54,2.89,4.02,3.79,9.48,1.85,55,0,6.63,1.4,0.45,71,5.32,97,9.93,0.81,45,34
Mickey Parcell,Enfield Town FC,542,Right Defensive Midfielder,Centre Defensive Midfielder,England,30,0.17,0.15,75,0.17,0.06,0.5,0.66,0.33,50,0.5,1.66,2.66,7.81,4.32,12.62,3.82,53,0,14.28,3.65,1,58,2.33,91,4.98,2.16,50,33
Miles Welch-Hayes,Maidenhead United,937,Right Centre Back,Left Back,England,29,0.1,0.03,100,0,0.01,0.19,0.58,0.29,50,0.96,0.67,2.59,7.01,5.57,12.68,2.4,50,0,10.95,3.07,1.25,64,6.24,96,8.65,0.67,40,20
Mitch Beardmore,Bath City,925,Left Midfielder,Left Centre Midfielder,England,21,0.1,0.07,27,0,0.09,1.36,1.36,0.88,64,1.95,2.04,1.95,8.56,6.62,12.26,2.72,37,0,17.9,4.09,0.97,65,2.82,90,9.44,2.14,21,55
Mitchell Charles Alan Walker,Dover Athletic,2903,Goalkeeper,,England,34,0,0,,0.03,0.01,0.03,0.03,0.03,100,0,0,0.03,0.03,6.33,3.16,0,,0.03,0.03,0.03,0,39,2.02,100,0.87,0,0,
Mitchell Weiss,Chesham United FC,1611,Left Attacking Midfielder,Left Centre Forward,England,32,0.22,0.18,41,0,0.12,1.29,1.4,0.78,56,2.12,2.91,1.56,7.04,6.15,8.44,1.9,44,0,18.89,5.64,1.84,63,1.84,88,9.27,6.54,0,21
