Name,Team,Minutes,Primary Position,Nationality,Passing%,Pass Length,Goals Conceded,PSxG Faced,GSAA,Save%,xSv%,Shot Stopping%,xG Faced,Shots Faced,Shots Faced OT%,All Shots Faced,Positioning Error,Penalties Faced,Penalties Conceded,GK Aggressive Dist.,Claims%,Pass into Danger%,Pass into Pressure%,Positive Outcome,Positive Outcome%
Paul Cooper,Buxton,1155,Goalkeeper,England,67,94,32,36,6,59,69,3,29,18,54,12,5,94,95,96,63,22,21,22,29
Paul Jones,King's Lynn Town FC,889,Goalkeeper,England,59,96,35,42,13,67,72,13,39,46,93,15,22,0,0,92,8,36,65,4,4
Peter Crook,Peterborough Sports FC,2671,Goalkeeper,England,49,99,21,73,25,62,65,25,77,44,38,49,1,98,98,88,13,36,16,92,96
Peter Jameson,Darlington,2251,Goalkeeper,England,65,96,29,69,39,64,66,39,72,44,35,51,10,95,96,56,13,31,33,96,90
Rhys Forster,Enfield Town FC,1603,Goalkeeper,England,34,99,33,48,16,65,70,14,70,38,9,70,18,95,96,97,39,47,55,93,98
Rogan Ravenhill,Leamington FC,1286,Goalkeeper,England,35,99,70,76,98,79,70,97,87,76,40,85,14,96,97,40,5,48,11,38,81
Rohan Luthra,Bedford Town,304,Goalkeeper,England,51,98,5,13,0,54,80,0,76,56,16,81,100,0,0,74,32,34,42,7,54
Ryan Gosney,AFC Totton,1203,Goalkeeper,England,63,97,37,83,89,67,63,89,66,47,79,27,1,0,0,78,15,33,5,98,99
Ryan Sandford,Eastbourne Borough,1602,Goalkeeper,England,56,98,9,75,4,55,65,4,68,46,83,23,7,95,94,84,3,38,50,18,29
Ryan Whitley,Scarborough Athletic,2824,Goalkeeper,England,41,99,45,64,66,67,65,67,56,33,32,39,5,93,93,59,26,43,54,93,97
Sam Howes,Dagenham & Redbridge,2082,Goalkeeper,England,67,97,90,9,56,72,71,57,8,4,15,7,19,93,93,77,7,25,33,89,87
Sam Lewis,Oxford City,1788,Goalkeeper,England,62,96,19,77,28,65,68,31,84,66,21,85,25,95,96,40,4,30,23,57,90
Seb Stacey,Worthing FC,995,Goalkeeper,England,77,92,60,23,22,68,72,17,19,19,38,19,12,94,95,93,58,22,1,75,69
Theo Richardson,Hereford FC,2079,Goalkeeper,England,53,99,21,64,13,62,68,13,78,45,16,69,16,94,93,93,4,36,24,98,97
Tom Watson,South Shields,1399,Goalkeeper,England,75,93,83,17,60,69,68,63,34,5,24,6,4,96,97,50,11,21,2,82,90
Tommy Taylor,Worksop Town FC,1788,Goalkeeper,England,49,99,22,45,4,56,66,2,81,19,55,13,1,95,96,73,21,38,16,98,97
Will Buse,Salisbury,2899,Goalkeeper,England,59,96,35,68,51,65,66,50,57,39,51,35,9,93,93,97,9,35,39,91,92
Will Henry,Chippenham Town,2891,Goalkeeper,England,63,96,9,85,13,58,64,13,82,56,79,36,4,97,96,76,26,29,13,93,96
Woody Williamson,Eastbourne Borough,891,Goalkeeper,Scotland,60,97,3,99,89,66,63,79,89,97,99,75,48,0,0,99,10,35,33,86,85
Zac Jones,Fylde,2565,Goalkeeper,New Zealand,76,93,57,60,80,66,62,85,27,17,62,10,1,94,94,97,15,20,8,93,85
