Name,Team,Minutes,Primary Position,Nationality,Age,Height,Passing%,Pass Length,Goals Conceded,PSxG Faced,GSAA,Save%,xSv%,Shot Stopping%,xG Faced,Shots Faced,Shots Faced OT%,All Shots Faced,Positioning Error,Penalties Faced,Penalties Conceded,GK Aggressive Dist.,Claims%,Pass into Danger%,Pass into Pressure%,Positive Outcome,Positive Outcome%
Mitchell Charles Alan Walker,Dover Athletic,2903,Goalkeeper,England,34,188,39,58.3,1.24,1.3,0.06,69,68,1,1.27,4.06,34,12.12,2,0.06,0.06,16.57,-1,43,3,2.13,18
Nathan Ashmore,Bedford Town,1582,Goalkeeper,England,36,188,38,61.84,1.02,1.24,0.22,75,70,5,1.3,4.15,33,12.46,2.33,0.28,0.28,19.96,-2,49,4,1.17,9
Nathan Harness,Maidstone United,2511,Goalkeeper,England,26,185,38,63.65,0.82,0.82,0,70,70,0,0.99,2.76,31,8.96,2.51,0.04,0.04,23.39,0,41,4,2.58,18
Paul Cooper,Buxton,1155,Goalkeeper,England,23,182,67,39.44,1.25,0.95,-0.29,59,69,-10,0.95,3.04,33,9.2,2.32,0.08,0.08,22.61,3,22,5,0.97,7
Paul Jones,King's Lynn Town FC,889,Goalkeeper,England,39,191,59,43.09,1.22,1.01,-0.21,67,72,-6,1.02,3.65,39,9.42,2.01,0,0,21.77,-1,36,3,0.66,5
Peter Crook,Peterborough Sports FC,2671,Goalkeeper,England,32,186,49,53.83,1.38,1.26,-0.12,62,65,-3,1.29,3.61,32,11.42,3.07,0.2,0.2,21.13,0,36,5,1.98,16
Peter Jameson,Darlington,2251,Goalkeeper,England,33,191,65,44.26,1.28,1.22,-0.06,64,66,-2,1.24,3.6,31,11.55,2.18,0.12,0.12,18.84,0,31,4,2.22,14
Rhys Forster,Enfield Town FC,1603,Goalkeeper,England,27,190,34,63.03,1.24,1.05,-0.18,65,70,-5,1.23,3.48,28,12.58,2.05,0.11,0.11,23.17,2,47,3,2.05,18
Rogan Ravenhill,Leamington FC,1286,Goalkeeper,England,20,179,35,61.06,0.91,1.29,0.38,79,70,9,1.42,4.34,32,13.65,2.11,0.14,0.14,18.02,-1,48,5,1.15,12
Rohan Luthra,Bedford Town,304,Goalkeeper,England,24,192,51,48.28,1.78,0.76,-1.02,54,80,-27,1.28,3.85,29,13.32,1.23,0,0,19.86,1,34,4,0.74,9
Ryan Gosney,AFC Totton,1203,Goalkeeper,England,34,,63,47.55,1.2,1.37,0.18,67,63,5,1.2,3.67,36,10.25,3.1,0,0,20.13,0,33,6,2.55,18
Ryan Sandford,Eastbourne Borough,1602,Goalkeeper,England,27,188,56,48.6,1.63,1.28,-0.35,55,65,-10,1.22,3.65,37,10,2.25,0.11,0.06,20.62,-2,38,4,0.92,7
Ryan Whitley,Scarborough Athletic,2824,Goalkeeper,England,27,196,41,58.78,1.12,1.17,0.06,67,65,2,1.13,3.38,31,10.93,2.36,0.03,0.03,18.96,1,43,3,2.08,17
Sam Howes,Dagenham & Redbridge,2082,Goalkeeper,England,28,185,67,46.93,0.69,0.7,0.01,72,71,1,0.76,2.46,29,8.56,2.04,0.04,0.04,20.09,-1,25,4,1.9,13
Sam Lewis,Oxford City,1788,Goalkeeper,England,20,,62,44.02,1.41,1.3,-0.11,65,68,-3,1.37,4.08,30,13.74,1.98,0.1,0.1,18.02,-2,30,5,1.36,14
Seb Stacey,Worthing FC,995,Goalkeeper,England,20,183,77,30.45,0.99,0.85,-0.14,68,72,-5,0.88,3.07,31,9.76,2.16,0.09,0.09,21.96,3,22,9,1.6,11
Theo Richardson,Hereford FC,2079,Goalkeeper,England,27,193,53,54.02,1.38,1.18,-0.21,62,68,-6,1.31,3.64,29,12.55,2.08,0.09,0.04,21.84,-2,36,5,2.5,16
Tom Watson,South Shields,1399,Goalkeeper,England,21,,75,34.71,0.77,0.8,0.03,69,68,1,0.98,2.51,30,8.36,2.41,0.13,0.13,18.54,0,21,7,1.72,13
Tommy Taylor,Worksop Town FC,1788,Goalkeeper,England,33,191,49,60.87,1.36,1.03,-0.33,56,66,-11,1.33,3.07,33,9.26,2.73,0.1,0.1,19.78,1,38,5,2.48,16
Will Buse,Salisbury,2899,Goalkeeper,England,24,187,59,45.09,1.21,1.2,-0.01,65,66,0,1.14,3.51,33,10.71,2.22,0.03,0.03,23.19,-1,35,4,1.96,14
Will Henry,Chippenham Town,2891,Goalkeeper,England,27,180,63,44.19,1.62,1.41,-0.21,58,64,-5,1.35,3.86,36,10.77,2.42,0.16,0.12,20.01,1,29,5,2.08,16
Woody Williamson,Eastbourne Borough,891,Goalkeeper,Scotland,19,,60,46.15,1.92,2.09,0.18,66,63,3,1.46,5.66,44,12.93,1.8,0,0,25.12,0,35,4,1.82,12
Zac Jones,Fylde,2565,Goalkeeper,New Zealand,25,185,76,33.68,1.02,1.14,0.12,66,62,4,0.94,3.02,34,8.91,2.9,0.07,0.07,23.57,0,20,6,2.04,12
